Title, Link
Banner, http://www.singaporebookpublishers.sg/documents/sbpa_SBB2020_Academy-Banner.jpg
Introduction to the World of Publishing,http://www.singaporebookpublishers.sg/documents/sbpa_SBB2020_Academy-Introductions.JPG
Commisioning and Acquisition & Introduction to Editing,http://www.singaporebookpublishers.sg/documents/sbpa_SBB2020_Academy-Editorial.JPG
Digital Marketing for Book Publishers,http://www.singaporebookpublishers.sg/documents/sbpa_SBB2020_Academy-DigitalMarketing.JPG
