Title, Link
June Ho,http://www.singaporebookpublishers.sg/documents/sbpa_SBB2020_MeetAuthors-JuneHo.JPG
Eddie Chan Fook Pong,http://www.singaporebookpublishers.sg/documents/sbpa_SBB2020_MeetAuthors-EddieChan.JPG
Rosie Wee,http://www.singaporebookpublishers.sg/documents/sbpa_SBB2020_MeetAuthors-RosieWee.JPG
Elizebeth Choy,http://www.singaporebookpublishers.sg/documents/sbpa_SBB2020_BookLauch-ElizebethChoy.JPG
Simply Read,http://www.singaporebookpublishers.sg/documents/sbpa_SBB2020_BookLauch-SimplyRead.JPG
Friends,http://www.singaporebookpublishers.sg/documents/sbpa_SBB2020_BookLauch-Friends.JPG
