Title, Link
China's Change: The Greatest Show on Earth,http://www.singaporebookpublishers.sg/documents/sbpa_SBB2020_BookLauch-ChinasChange.JPG
Chinatown Unspoken,http://www.singaporebookpublishers.sg/documents/sbpa_SBB2020_BookLauch-ChinatownUnspoken.JPG
The Heart Remembers,http://www.singaporebookpublishers.sg/documents/sbpa_SBB2020_BookLauch-TheHeartRemember.JPG
Elizebeth Choy,http://www.singaporebookpublishers.sg/documents/sbpa_SBB2020_BookLauch-ElizebethChoy.JPG
Simply Read,http://www.singaporebookpublishers.sg/documents/sbpa_SBB2020_BookLauch-SimplyRead.JPG
Friends,http://www.singaporebookpublishers.sg/documents/sbpa_SBB2020_BookLauch-Friends.JPG
